id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,floorplan
1536172,3810857,9/41 Doonside Crescent,Blacktown,2148,NSW,-33.765102,150.8915,unit,,TRUE
1568828,3032525,29 McClean Street,Blacktown,2148,NSW,-33.760021,150.886612,house,663,TRUE
1589377,12022876,315 Flushcombe Road,Blacktown,2148,NSW,-33.79465,150.90433,house,,FALSE
1617167,10139569,25 BLACKETT STREET,Kings Park,2148,NSW,-33.739263,150.900926,house,400,TRUE
1618273,374940,25 Panorama Parade,Blacktown,2148,NSW,-33.777304,150.914812,house,569,TRUE
1618274,6472364,7 Kastelan Street,Blacktown,2148,NSW,-33.775569,150.8886,house,556,TRUE
1618276,11483683,55 Kastelan Street,Blacktown,2148,NSW,-33.777043,150.88623,house,556,TRUE
1645342,10110677,12 Elanora Avenue,Blacktown,2148,NSW,-33.77738,150.902553,house,,FALSE
1663418,2277922,115 Davis Road,Marayong,2148,NSW,-33.747992,150.897806,house,778,FALSE
1667208,11535517,9 Hunter Street,Blacktown,2148,NSW,-33.780184,150.882979,house,,TRUE
1667209,9188263,32 Burrell Parade,Blacktown,2148,NSW,-33.778607,150.885265,house,,TRUE
1692247,6977271,4 Cansdale Street,Blacktown,2148,NSW,-33.779823,150.88283,house,727,TRUE
1712946,13560482,194 Madagascar Drive,Kings Park,2148,NSW,-33.739111,150.913156,house,695,TRUE
1745505,433140,11 Bedford Road,Blacktown,2148,NSW,-33.758614,150.917947,house,676,TRUE
1778398,8716110,63/130 Main Street,Blacktown,2148,NSW,-33.771909,150.911003,unit,,TRUE
1778399,12881852,163b Kildare Road,Blacktown,2148,NSW,-33.767491,150.889992,house,334,TRUE
1778419,8884564,11/21-29 Third Avenue,Blacktown,2148,NSW,-33.765007,150.91013,unit,,TRUE
1778435,13480890,4 Glamorgan Street,Blacktown,2148,NSW,-33.785765,150.910178,house,562,FALSE
1801192,8766729,20 Palona Street,Marayong,2148,NSW,-33.742901,150.892363,house,622,FALSE
1805516,8717333,92 Valda Street,Blacktown,2148,NSW,-33.780914,150.90381,house,676,TRUE
1805518,10990833,33 Duckmallois Avenue,Blacktown,2148,NSW,-33.782178,150.909472,house,645,TRUE
1828727,1242582,3 Alam Street,Blacktown,2148,NSW,-33.76092,150.89607,house,,TRUE
1828729,1569208,10 Sutton Street,Blacktown,2148,NSW,-33.78048,150.91301,house,566,TRUE
1828730,2604643,103/1 Griffiths Street,Blacktown,2148,NSW,-33.77362,150.91557,unit,,TRUE
1828747,10123169,62/130 Main Street,Blacktown,2148,NSW,-33.771908,150.911,unit,,TRUE
1850470,1365434,63 Nairana Drive,Marayong,2148,NSW,-33.743826,150.893941,house,,TRUE
1852671,4807670,51/45 BUNGARRIBEE ROAD,Blacktown,2148,NSW,-33.77764,150.9184,unit,,TRUE
1852681,5470317,2/56 IRELANDS ROAD,Blacktown,2148,NSW,-33.763897,150.88657,unit,201,TRUE
1874642,9009152,6 Marana Street,Blacktown,2148,NSW,-33.782783,150.905846,house,556,TRUE
1908515,1183105,51/130 Main Street,Blacktown,2148,NSW,-33.771909,150.911003,unit,,TRUE
1937016,10026292,32 Oulton Street,Prospect,2148,NSW,-33.793921,150.908123,house,558,TRUE
1941343,5848687,57/177 Reservoir Rd,Blacktown,2148,NSW,-33.7969,150.89857,unit,,TRUE
1941345,12810112,15 Wattle Street,Blacktown,2148,NSW,-33.765532,150.888347,house,556,TRUE
1941346,2971442,44 Duckmallois Avenue,Blacktown,2148,NSW,-33.781603,150.909378,house,569,TRUE
1970891,6294385,3 Pollack Street,Blacktown,2148,NSW,-33.781814,150.896398,house,556,FALSE
1970916,630769,1 Charles Street,Blacktown,2148,NSW,-33.753324,150.917515,house,544,TRUE
1997408,8783579,7 Leslie Street,Blacktown,2148,NSW,-33.781254,150.89027,house,,TRUE
1997409,10055547,5 Sarsfield Street,Blacktown,2148,NSW,-33.767067,150.91553,house,878,TRUE
1997426,7192497,30/39 Patricia Street,Blacktown,2148,NSW,-33.793624,150.904127,unit,,TRUE
2021528,2702394,81B Newton Road,Blacktown,2148,NSW,-33.772546,150.89867,unit,,TRUE
2043060,5648642,8 Frederick Street,Blacktown,2148,NSW,-33.752693,150.918526,house,1094,TRUE
2082110,9029532,16  Bermuda Place,Kings Park,2148,NSW,-33.739965,150.905965,house,650,TRUE
2088577,11518782,18 Sutton Street,Blacktown,2148,NSW,-33.780335,150.912379,house,556,TRUE
2088578,6452233,32/7 Griffiths Street,Blacktown,2148,NSW,-33.773111,150.916262,unit,,TRUE
2088604,898285,36/177 Reservoir Road,Blacktown,2148,NSW,-33.7969,150.89858,unit,,FALSE
2121591,4445288,112 Quakers Road,Marayong,2148,NSW,-33.742387,150.889031,house,577,TRUE
2121595,8460433,33 Daraya Road,Marayong,2148,NSW,-33.752221,150.894273,house,733,TRUE
2126417,13541794,200 Blacktown Road,Blacktown,2148,NSW,-33.788257,150.919216,house,588,TRUE
2126419,1496913,8 Andre Place,Blacktown,2148,NSW,-33.793938,150.90004,house,450,TRUE
2126420,12965367,51a Doonside Crescent,Blacktown,2148,NSW,-33.764923,150.89035,house,,FALSE
2135828,12220405,8 Dee Place,Prospect,2148,NSW,-33.800735,150.914859,house,389,TRUE
2147002,8783828,2 Bridge View Street,Blacktown,2148,NSW,-33.788071,150.902936,house,569,TRUE
2177052,13346488,83 Turner Street,Blacktown,2148,NSW,-33.754004,150.925285,house,474,TRUE
2234355,8555681,22 Malcolm Street,Blacktown,2148,NSW,-33.782282,150.911139,house,619,TRUE
2234358,5363191,32/5 Griffiths Street,Blacktown,2148,NSW,-33.773685,150.91618,unit,,FALSE
2234385,8900333,5 Hilltop Avenue,Blacktown,2148,NSW,-33.777874,150.89314,house,,TRUE
2258059,9170485,136 Donohue Street,Kings Park,2148,NSW,-33.73658,150.89793,house,517,TRUE
2270382,11656504,51 Balmoral Street,Blacktown,2148,NSW,-33.775023,150.901763,house,1018,TRUE
2270383,11179706,1 Ida Place,Blacktown,2148,NSW,-33.766963,150.895881,house,560,TRUE
2270384,12881166,9 Frederick Street,Blacktown,2148,NSW,-33.751991,150.918515,house,752,TRUE
2270386,9101487,3/86 Eggleton Street,Blacktown,2148,NSW,-33.752292,150.925739,unit,198,TRUE
2270428,2016748,7/25-27 FOURTH    AVENUE,Blacktown,2148,NSW,-33.76385,150.91026,unit,,FALSE
2279371,11207541,102 Myrtle St,Prospect,2148,NSW,-33.795223,150.913874,house,557,TRUE
2296190,2738857,17 Kent Street,Blacktown,2148,NSW,-33.764202,150.89978,house,,FALSE
2296191,5363156,24/162 Walters Road,Blacktown,2148,NSW,-33.785847,150.89072,unit,,FALSE
2296192,4335946,175B Flushcombe Road,Blacktown,2148,NSW,-33.77999,150.90674,unit,,TRUE
2296193,279004,3 Charles Street,Blacktown,2148,NSW,-33.753188,150.917538,house,550,TRUE
2313933,2445274,15 Quakers Road,Marayong,2148,NSW,-33.746112,150.897535,house,708,FALSE
2321864,3752751,72 Joseph Street,Blacktown,2148,NSW,-33.784275,150.902193,house,,TRUE
2321865,10349439,69 Harold Street,Blacktown,2148,NSW,-33.762623,150.917554,house,,TRUE
2344332,4446503,29 Marion Street,Blacktown,2148,NSW,-33.775902,150.911173,house,,FALSE
2408178,9463479,30 Raymond Street,Blacktown,2148,NSW,-33.751787,150.920704,house,803,TRUE
2426739,8614399,45 Donohue Street,Kings Park,2148,NSW,-33.73757,150.90172,house,578,TRUE
2438767,9427436,7/59-61 Balmoral Street,Blacktown,2148,NSW,-33.775814,150.901219,unit,179,TRUE
2438768,11020095,7/34-36 Carinya Street,Blacktown,2148,NSW,-33.772149,150.901969,unit,,TRUE
2438806,10747177,12 Alam Street,Blacktown,2148,NSW,-33.760693,150.895029,house,,FALSE
2488812,10543656,18 Blue Hills Crescent,Blacktown,2148,NSW,-33.771065,150.89447,house,,FALSE
2488829,86467,71A/177A Reservoir Rd,Blacktown,2148,NSW,-33.797414,150.899928,unit,,TRUE
2488830,6897100,9 Essex Street,Blacktown,2148,NSW,-33.764725,150.89458,house,,FALSE
2488834,7298571,3 Allay Street,Blacktown,2148,NSW,-33.757057,150.88983,house,559,TRUE
2513621,12297255,1/44 Peter Street,Blacktown,2148,NSW,-33.764745,150.914005,unit,,TRUE
2530021,4485148,25 Dagmar Crescent,Blacktown,2148,NSW,-33.776888,150.89761,house,599,TRUE
2572765,12296780,44 Dan Avenue,Blacktown,2148,NSW,-33.763872,150.894236,house,,FALSE
